day_number,mean_vehs,mean_queue_s
1,746.1679819023569,220.34758768237936
2,741.2463699494949,218.5712619248036
3,741.9683817340067,217.3967578563412
4,744.9432870370371,218.83741617564536
5,741.4624894781144,216.69509075126263
6,743.559396043771,218.28085183431537
7,740.80413510101,217.6694213839787
8,744.6386258417508,218.64446610199215
9,740.9859006734007,217.70963120791245
10,745.4734322390573,217.5325132400393
11,744.725484006734,216.84759609988777
12,744.3190761784512,217.72276059203142
13,740.1695075757576,217.68676469556678
14,743.2236952861953,217.50775541877104
