column,dtype,missing
date,datetime64[us],0
LINK_ID,int64,0
DAY,int64,0
VEHS(ALL)_1,int64,0
SPEEDAVGARITH(ALL)_1,float64,0
SPEEDAVGHARM(ALL)_1,float64,0
QUEUEDELAY(ALL)_1,float64,0
OCCUPRATE(ALL)_1,float64,0
VEHS(ALL)_2,int64,0
SPEEDAVGARITH(ALL)_2,float64,0
SPEEDAVGHARM(ALL)_2,float64,0
QUEUEDELAY(ALL)_2,float64,0
OCCUPRATE(ALL)_2,float64,0
VEHS(ALL)_3,int64,0
SPEEDAVGARITH(ALL)_3,float64,0
SPEEDAVGHARM(ALL)_3,float64,0
QUEUEDELAY(ALL)_3,float64,0
OCCUPRATE(ALL)_3,float64,0
VEHS(ALL)_4,int64,0
SPEEDAVGARITH(ALL)_4,float64,0
SPEEDAVGHARM(ALL)_4,float64,0
QUEUEDELAY(ALL)_4,float64,0
OCCUPRATE(ALL)_4,float64,0
VEHS(ALL)_5,int64,0
SPEEDAVGARITH(ALL)_5,float64,0
SPEEDAVGHARM(ALL)_5,float64,0
QUEUEDELAY(ALL)_5,float64,0
OCCUPRATE(ALL)_5,float64,0
VEHS(ALL)_6,int64,0
SPEEDAVGARITH(ALL)_6,float64,0
SPEEDAVGHARM(ALL)_6,float64,0
QUEUEDELAY(ALL)_6,float64,0
OCCUPRATE(ALL)_6,float64,0
hour,int32,0
minute,int32,0
day_of_week,int32,0
day_number,int64,0
minute_of_day,int32,0
lane6_active,int64,0
lane4_stalled,int64,0
lane5_stalled,int64,0
